Platform,Result,Source
amazon.com,Used,Holehe
eventbrite.com,Used,Holehe
firefox.com,Used,Holehe
spotify.com,Used,Holehe
twitter.com,Used,Holehe
wordpress.com,Used,Holehe
"Email used, [-] Email not used, [x] Rate limit",Used,Holehe
